Khutuck Bot|bot|11 yýl 5 ay|610,939 deðiþikliðe sahip|12|9 saat önce yaptý
Vikiçizer|bürokrat|hizmetli|13 yýl|1,175,204 deðiþikliðe sahip|38|4 gün önce yaptý
InternetArchiveBot|bot|4 ay|167,872 deðiþikliðe sahip|1|16 saat önce yaptý
Evrifaessa|devriye|8 ay|13,251 deðiþikliðe sahip|1|45 dakika önce yaptý
Namiq27|beyaz liste|1 yýl 2 ay|100 deðiþikliðe sahip|1|1 ay önce yaptý
Khutuck Bot|bot|11 yýl 5 ay|610,939 deðiþikliðe sahip|-163|9 saat önce yaptý
Evrifaessa|devriye|8 ay|13,251 deðiþikliðe sahip|5848|45 dakika önce yaptý
Teacher0691|devriye|6 yýl|747,494 deðiþikliðe sahip|-1|18 saat önce yaptý
Teacher0691|devriye|6 yýl|747,494 deðiþikliðe sahip|15|18 saat önce yaptý
Khutuck|hizmetli|14 yýl 2 ay|40,967 deðiþikliðe sahip|-2|9 saat önce yaptý
Khutuck|hizmetli|14 yýl 2 ay|40,967 deðiþikliðe sahip|0|9 saat önce yaptý
Khutuck|hizmetli|14 yýl 2 ay|40,967 deðiþikliðe sahip|0|9 saat önce yaptý
Khutuck Bot|bot|11 yýl 5 ay|610,939 deðiþikliðe sahip|1|9 saat önce yaptý
Esc2003|devriye|10 yýl 1 ay|85,365 deðiþikliðe sahip|0|24 dakika önce yaptý
Vikiçizer|bürokrat|hizmetli|13 yýl|1,175,204 deðiþikliðe sahip|-4|4 gün önce yaptý
BSRF|devriye|8 yýl 2 ay|40,024 deðiþikliðe sahip|100|8 saat önce yaptý
CommonsDelinker|beyaz liste|bot|13 yýl 8 ay|43,528 deðiþikliðe sahip|-105|6 gün önce yaptý
Vikiçizer|bürokrat|hizmetli|13 yýl|1,175,204 deðiþikliðe sahip|6|4 gün önce yaptý
Vikiçizer|bürokrat|hizmetli|13 yýl|1,175,204 deðiþikliðe sahip|22|4 gün önce yaptý
Teacher0691|devriye|6 yýl|747,494 deðiþikliðe sahip|-9|18 saat önce yaptý
Teacher0691|devriye|6 yýl|747,494 deðiþikliðe sahip|-11|18 saat önce yaptý
Teacher0691|devriye|6 yýl|747,494 deðiþikliðe sahip|0|18 saat önce yaptý
Vikiçizer|bürokrat|hizmetli|13 yýl|1,175,204 deðiþikliðe sahip|-3|4 gün önce yaptý
Vikiçizer|bürokrat|hizmetli|13 yýl|1,175,204 deðiþikliðe sahip|-1|4 gün önce yaptý
BotHorizon|bot|1 yýl 9 ay|6,518 deðiþikliðe sahip|-20|1 yýl 8 ay önce yaptý
Teacher0691|devriye|6 yýl|747,494 deðiþikliðe sahip|-142|18 saat önce yaptý
Akil13|devriye|10 yýl 7 ay|45,065 deðiþikliðe sahip|1|15 saat önce yaptý
Deutschland000000 (sayfa mevcut deðil)|3 yýl 10 ay|66 deðiþikliðe sahip|0|3 yýl 5 ay önce yaptý
JamesP|beyaz liste|4 yýl 3 ay|247 deðiþikliðe sahip|1|3 yýl 2 ay önce yaptý
Erasmus.new|beyaz liste|10 yýl 2 ay|58,408 deðiþikliðe sahip|66|4 yýl 1 ay önce yaptý
Erasmus.new|beyaz liste|10 yýl 2 ay|58,408 deðiþikliðe sahip|-66|4 yýl 1 ay önce yaptý
Erasmus.new|beyaz liste|10 yýl 2 ay|58,408 deðiþikliðe sahip|66|4 yýl 1 ay önce yaptý
Teacher0691|devriye|6 yýl|747,494 deðiþikliðe sahip|-20|18 saat önce yaptý
Esc2003|devriye|10 yýl 1 ay|85,365 deðiþikliðe sahip|-32|24 dakika önce yaptý
Akil13|devriye|10 yýl 7 ay|45,065 deðiþikliðe sahip|44|15 saat önce yaptý
Vikiçizer|bürokrat|hizmetli|13 yýl|1,175,204 deðiþikliðe sahip|-45|4 gün önce yaptý
YBot|bot|10 yýl 1 ay|577,921 deðiþikliðe sahip|179|1 dakika önce yaptý
YBot|bot|10 yýl 1 ay|577,921 deðiþikliðe sahip|27130|1 dakika önce yaptý
Akil13|devriye|10 yýl 7 ay|45,065 deðiþikliðe sahip|0|15 saat önce yaptý
Akil13|devriye|10 yýl 7 ay|45,065 deðiþikliðe sahip|194|15 saat önce yaptý
Ghetto|devriye|13 yýl 3 ay|2,704 deðiþikliðe sahip|11|3 yýl 11 ay önce yaptý
Ghetto|devriye|13 yýl 3 ay|2,704 deðiþikliðe sahip|-16|3 yýl 11 ay önce yaptý
Ghetto|devriye|13 yýl 3 ay|2,704 deðiþikliðe sahip|17|3 yýl 11 ay önce yaptý
YBot|bot|10 yýl 1 ay|577,921 deðiþikliðe sahip|-90|1 dakika önce yaptý
On 15|devriye|10 yýl 8 ay|27,927 deðiþikliðe sahip|-295|2 gün önce yaptý
Ömer Berkay (sayfa mevcut deðil)|devriye|7 yýl 1 ay|16,148 deðiþikliðe sahip|5|4 saat önce yaptý
Ömer Berkay (sayfa mevcut deðil)|devriye|7 yýl 1 ay|16,148 deðiþikliðe sahip|-5|4 saat önce yaptý
Ömer Berkay (sayfa mevcut deðil)|devriye|7 yýl 1 ay|16,148 deðiþikliðe sahip|24|4 saat önce yaptý
Ömer Berkay (sayfa mevcut deðil)|devriye|7 yýl 1 ay|16,148 deðiþikliðe sahip|0|4 saat önce yaptý
YBot|bot|10 yýl 1 ay|577,921 deðiþikliðe sahip|-31|2 dakika önce yaptý
