Khutuck Bot|bot|11 yýl 5 ay|610,939 deðiþikliðe sahip|7 saat önce yaptý
Vikiçizer|bürokrat|hizmetli|13 yýl|1,175,204 deðiþikliðe sahip|4 gün önce yaptý
InternetArchiveBot|bot|4 ay|167,872 deðiþikliðe sahip|14 saat önce yaptý
Evrifaessa|devriye|8 ay|13,240 deðiþikliðe sahip|1 saat önce yaptý
Namiq27|beyaz liste|1 yýl 2 ay|100 deðiþikliðe sahip|1 ay önce yaptý
Teacher0691|devriye|6 yýl|747,494 deðiþikliðe sahip|16 saat önce yaptý
Khutuck|hizmetli|14 yýl 2 ay|40,967 deðiþikliðe sahip|7 saat önce yaptý
Esc2003|
BSRF|devriye|8 yýl 2 ay|40,024 deðiþikliðe sahip|6 saat önce yaptý
CommonsDelinker|beyaz liste|bot|13 yýl 8 ay|43,528 deðiþikliðe sahip|5 gün önce yaptý
BotHorizon|bot|1 yýl 9 ay|6,518 deðiþikliðe sahip|1 yýl 8 ay önce yaptý
Akil13|devriye|10 yýl 7 ay|45,065 deðiþikliðe sahip|13 saat önce yaptý
Deutschland000000 (sayfa mevcut deðil)|3 yýl 10 ay|66 deðiþikliðe sahip|3 yýl 5 ay önce yaptý
JamesP|beyaz liste|4 yýl 3 ay|247 deðiþikliðe sahip|3 yýl 2 ay önce yaptý
Erasmus.new|beyaz liste|10 yýl 2 ay|58,408 deðiþikliðe sahip|4 yýl 1 ay önce yaptý
